"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,-81.7969190724144,-110.280293335733,-88.4614909535411,-82.8789136813824,-85.9306746281948,-83.7658996098584,-90.7715468553437,-97.7763090564623,-105.023030710259,-90.8039305721923
0.001,-81.7613391731277,-110.158452721912,-88.3960133506601,-82.818406782702,-85.9217358718716,-83.7263302720051,-90.7136757738154,-97.6758906425981,-104.934132791977,-90.7539758199695
0.002,-81.7258959658083,-110.03738081329,-88.3311020908318,-82.7582316071756,-85.9126781249254,-83.6869578327324,-90.6558750130722,-97.5766141813165,-104.845846057766,-90.7043271089308
0.003,-81.6905884638149,-109.917068620322,-88.2667449254224,-82.6983865511375,-85.9035048882865,-83.6477803678595,-90.5981510189697,-97.4784487157065,-104.758158958769,-90.6549817416224
0.004,-81.65541568832,-109.797507277036,-88.2029300026789,-82.6388699545527,-85.8942195261549,-83.6087959767854,-90.5405097281647,-97.3813644777608,-104.671060272958,-90.6059370034051
0.005,-81.6203766683004,-109.678688040435,-88.1396458514281,-82.5796801064303,-85.8848252727832,-83.5700027824108,-90.4829566101193,-97.285332830579,-104.584539093162,-90.5571901669983
0.006,-81.5854704405241,-109.560602289763,-88.0768813655758,-82.5208152498198,-85.8753252388479,-83.531398931033,-90.425496705021,-97.1903262139383,-104.498584815634,-90.5087384965905
0.007,-81.5506960495331,-109.443241525642,-88.0146257893587,-82.4622735864245,-85.8657224174356,-83.4929825922188,-90.3681346580813,-97.0963180930038,-104.41318712911,-90.4605792515566
0.008,-81.5160525476239,-109.32659736911,-87.9528687033085,-82.4040532808632,-85.8560196896754,-83.454751958656,-90.3108747506174,-97.0032829099697,-104.328336004353,-90.412709689818
0.009,-81.4815389948244,-109.210661560561,-87.8916000108866,-82.3461524646105,-85.8462198300384,-83.4167052459865,-90.2537209282683,-96.9111960384348,-104.244021684139,-90.3651270708783
0.01,-81.4471544588682,-109.095425958605,-87.8308099257546,-82.288569239639,-85.8363255113311,-83.3788406926236,-90.1966768266547,-96.8200337403364,-104.160234673684,-90.3178286585638
0.011,-81.4128980151666,-108.980882538862,-87.7704889596432,-82.2313016817895,-85.8263393094013,-83.341156559555,-90.1397457947519,-96.7297731252729,-104.076965731471,-90.2708117234962
0.012,-81.3787687467774,-108.867023392688,-87.7106279107888,-82.1743478438891,-85.8162637075777,-83.3036511301335,-90.0829309162133,-96.6403921120636,-103.994205860467,-90.2240735453199
0.013,-81.3447657443725,-108.753840725854,-87.6512178529059,-82.117705758637,-85.8061011008597,-83.2663227098564,-90.0262350288544,-96.5518693924021,-103.911946299707,-90.1776114147074
0.014,-81.3108881062024,-108.641326857184,-87.5922501246678,-82.0613734412775,-85.7958537998753,-83.2291696261363,-89.9696607424821,-96.4641843964703,-103.830178516234,-90.131422635162
0.015,-81.2771349380594,-108.529474217151,-87.5337163196668,-82.0053488920742,-85.785524034622,-83.1921902280631,-89.9132104552326,-96.3773172603921,-103.748894197367,-90.0855045246351
0.016,-81.2435053532391,-108.418275346445,-87.47560827683,-81.949630098602,-85.7751139580039,-83.1553828861596,-89.8568863685633,-96.29124879541,-103.668085243286,-90.0398544169745
0.017,-81.2099984724993,-108.30772289452,-87.4179180712664,-81.8942150378709,-85.7646256491795,-83.1187459921311,-89.8006905010273,-96.2059604586807,-103.587743759925,-89.9944696632198
